"","create_date","version_id","user_id","manuscript_id","manuscript_DOI","actionability","concreteness_confidence","discovery_value","expertise"
"115",2017-05-26 18:15:00,2,30,277,"10.1038/nn.2134",5,4.35,3.86,4.44
"116",2017-05-27 15:08:00,2,30,285,"10.1371/journal.pbio.0030068",2.26,3.42,4.99,3.89
"117",2016-12-15 14:42:00,1,33,66,"10.1038/nn.2739",4.01,4.45,3.95,4.32
"118",2016-11-16 20:35:00,1,34,13,"10.1016/j.biopsych.2010.05.024",2.68,2.64,2.66,1.45
"119",2017-02-28 14:02:00,1,35,35,"10.1038/nature08002",2.48,3.23,3.12,1.57
"120",2017-03-24 16:09:00,1,35,135,"10.1016/j.neuron.2014.01.025",2.44,3,3.57,2.04
"121",2017-02-14 15:11:00,1,35,136,"10.1038/35090500",1.92,3.18,1.77,0
"122",2017-02-28 14:06:00,1,35,142,"10.1126/science.7770778",2.63,2.73,3.25,1.44
"123",2017-03-24 16:02:00,1,35,153,"10.1038/nn.3797",2.44,2.62,3.57,2.57
"124",2017-03-24 15:59:00,1,35,173,"10.1111/ejn.12523",2.56,2.15,1.89,2.14
"125",2017-04-11 17:59:00,1,36,250,"10.1371/journal.pone.0094562",1.91,1.3,3.32,1.31
"126",2016-11-18 22:48:00,1,37,1,"10.1152/jn.01366.2006",3.22,1.13,4.19,2.84
"127",2016-12-15 16:51:00,1,38,98,"10.1038/nmeth.3415",0.98,4.15,3.03,1.65
"128",2016-12-15 18:15:00,1,41,99,"10.1007/978-1-60327-369-5_2",3.14,2.6,4.13,1.1
"129",2016-11-16 20:19:00,1,43,11,"10.1073/pnas.1508055112",4.47,4.12,4.47,3.91
"130",2016-11-16 20:20:00,1,43,12,"10.1242/jeb.145383",5,4.02,5,5
"131",2017-02-27 15:36:00,1,44,35,"10.1038/nature08002",3.51,4.47,3.78,2.59
"132",2017-02-13 23:14:00,1,44,135,"10.1016/j.neuron.2014.01.025",2.67,2.81,2.77,1.52
"133",2017-02-13 23:17:00,1,44,136,"10.1038/35090500",3.26,3.73,3.32,3.32
"134",2017-02-27 15:38:00,1,44,142,"10.1126/science.7770778",3.51,2.3,2.72,2.74
"135",2017-08-07 08:03:00,2,45,418,"10.1111/j.1460-9568.1995.tb00662.x",1.32,5,0.55,5
"136",2017-08-15 13:00:00,2,45,420,"10.1006/anbe.1993.1094",1.31,5,2.29,4.35
"137",2017-08-15 15:44:00,2,45,421,"10.2307/1379772",0.58,1.48,0.91,4.32
"138",2017-08-15 18:10:00,2,45,422,"10.1007/bf00303070",4.27,4.48,2.72,4.44
"139",2017-08-16 09:02:00,2,45,423,"10.1038/srep27252",3.21,2.5,1.17,4.91
"140",2017-08-16 10:12:00,2,45,424,"10.1016/0003-3472(67)90037-1",1.46,2.51,1.98,5
"141",2017-08-18 22:25:00,2,45,425,"10.1073/pnas.0912477107",5,3.63,5,3.58
"142",2017-08-18 22:27:00,2,45,426,"10.1073/pnas.1107365108",4.4,3.27,3.45,4.61
"143",2017-08-19 09:02:00,2,45,427,"10.1038/ncomms5488",3.24,1.54,3.64,5
"144",2017-08-19 16:02:00,2,45,428,"10.1098/rspb.2001.1941",3.14,2.37,5,2.22
"145",2017-08-19 16:03:00,2,45,429,"10.1098/rsbl.2015.0525",4.47,2.46,3.93,4.55
"146",2017-08-19 18:38:00,2,45,430,"10.3389/fphys.2013.00248",1.43,2.37,5,4.22
"147",2017-08-20 08:51:00,2,45,431,"10.2307/1535934",1.1,2.63,4.47,5
"148",2017-08-22 06:24:00,2,45,432,"10.1007/s00265-005-0003-1",0.98,3.84,1.59,4.78
"149",2017-08-22 08:27:00,2,45,433,"10.1038/201544a0",1.18,3.74,2.34,4.03
"150",2017-08-22 09:22:00,2,45,434,"10.1002/jez.1401230304",1.02,2.58,4.13,5
"151",2017-08-22 12:53:00,2,45,435,"10.1038/nature02547",2.67,1.2,3.98,5
"152",2017-08-22 18:06:00,2,45,437,"10.1121/1.395684",1.4,3.98,2.82,3.88
"153",2017-08-23 08:14:00,2,45,438,"10.1121/1.1528175",2.25,3.55,3.59,2.77
"154",2017-08-23 09:02:00,2,45,439,"10.1121/1.3519396",1.9,3.93,4.2,4.49
"155",2017-08-25 09:47:00,2,45,440,"10.1126/science.1202065",2.16,4.1,5,4.81
"156",2017-08-25 13:29:00,2,45,441,"10.1016/s0378-5955(03)00164-3",1.79,3.24,3.44,5
"157",2017-08-25 14:04:00,2,45,442,"10.1121/1.428283",2.92,2.36,1.73,4.26
"158",2017-08-28 09:19:00,2,45,445,"10.2307/1381534",4.04,1.31,3.38,5
"159",2016-11-04 23:32:00,1,48,1,"10.1152/jn.01366.2006",3.06,1.21,4.33,5
"160",2016-11-07 02:08:00,1,48,3,"10.1038/mp.2011.31",2.06,3.85,3.36,4.32
"161",2017-01-27 22:04:00,1,48,4,"10.1016/j.conb.2015.02.004",2.89,0.8,3.46,5
"162",2016-11-11 01:08:00,1,48,8,"10.1016/j.neuron.2015.03.040",5,2.97,3.2,2.82
"163",2016-11-15 22:45:00,1,48,10,"10.1016/j.neuron.2015.07.019",2.99,3.15,2.93,2.99
"164",2017-03-30 03:16:00,1,48,35,"10.1038/nature08002",2.75,3.45,2.41,5
"165",2016-12-11 18:53:00,1,48,52,"10.1016/j.neuron.2010.08.007",3.6,0.11,4.26,4.38
"166",2016-12-12 20:56:00,1,48,53,"10.3389/fncir.2013.00115",3.14,2.83,2.98,3.02
"167",2016-12-12 15:22:00,1,48,54,"10.3389/fnsys.2015.00185",3.13,1.85,3.81,5
"168",2016-12-13 22:27:00,1,48,57,"10.1038/srep34931",4.11,1.24,2.63,5
"169",2016-12-14 20:10:00,1,48,61,"10.1038/nature12024",4.9,2.31,3.8,3.33
"170",2016-12-14 22:18:00,1,48,62,"10.1021/acschembio.5b00351",4.02,0.94,3.66,5
"171",2016-12-15 14:43:00,1,48,66,"10.1038/nn.2739",3.99,4.87,4.04,4.75
"172",2016-12-23 02:22:00,1,48,118,"10.1016/j.neuron.2007.12.024",0.37,3.13,3.03,5
"173",2016-12-30 22:38:00,1,48,122,"10.1073/pnas.1013470107",1.27,3.82,3.21,4.15
"174",2017-01-04 22:24:00,1,48,123,"10.1016/j.brainres.2013.03.011",4.12,3.44,2.25,5
"175",2017-01-28 15:59:00,1,48,127,"10.1016/j.neuron.2015.10.021",3.66,3.29,3.84,5
"176",2017-02-17 19:49:00,1,48,139,"10.1073/pnas.1604135113",1.96,3.72,3.1,4.65
"177",2017-03-03 16:46:00,1,48,144,"10.1126/science.aal4217",4.14,1.91,3.04,5
"178",2017-03-05 02:59:00,1,48,149,"10.1038/nature21407",3.53,3.29,3.13,3.63
"179",2017-03-05 18:16:00,1,48,150,"10.1016/j.brainres.2008.06.054",3.68,3.42,3.65,3.82
"180",2017-03-09 02:34:00,1,48,156,"10.1038/nn.2894",4.06,2.87,3.81,4.14
"181",2017-03-30 23:33:00,1,48,193,"10.1016/j.neuron.2014.12.018",1.96,3.09,2.65,5
"182",2017-03-30 03:04:00,1,48,211,"10.1073/pnas.1510899113",3.94,2.84,2.99,5
"183",2017-03-30 02:59:00,1,48,212,"10.1523/jneurosci.3474-11.2012",2.16,2.73,2.85,5
"184",2017-03-30 03:00:00,1,48,213,"10.1093/cercor/bhk006",1.22,2.72,1.15,5
"185",2017-03-30 03:02:00,1,48,215,"10.1523/jneurosci.1592-13.2013",3.17,1.76,4.15,3.23
"186",2017-03-30 03:03:00,1,48,216,"10.1126/scitranslmed.3003748",3.19,2.99,4.27,3.46
"187",2017-03-30 03:06:00,1,48,218,"10.1038/nn.2439",2.82,2.99,2.93,5
"188",2017-03-30 03:08:00,1,48,219,"10.1038/nature12475",3.51,2.47,3.55,3.7
"189",2017-03-30 03:09:00,1,48,220,"10.1038/nn.4173",2.89,2.31,3.71,3.56
"190",2017-03-30 03:11:00,1,48,222,"10.1126/science.1138071",2.76,1.7,2.73,5
"191",2017-03-30 03:13:00,1,48,224,"10.1038/nn1671",2.82,3.86,3.71,5
"192",2017-04-11 17:14:00,1,48,247,"10.1016/j.ebcr.2016.12.002",1.96,0.66,3.23,1.6
"193",2017-04-13 19:05:00,1,48,253,"10.1001/jama.2017.3086",3.04,1.12,3.35,3.21
"194",2017-05-26 18:19:00,2,48,278,"10.1111/cns.12705",4,1.53,3.07,0.3
"195",2017-07-11 21:55:00,2,48,320,"10.1038/378078a0",4.63,5,3.97,1.97
"196",2017-07-21 17:09:00,2,48,369,"10.1016/j.nbd.2016.01.003",2.52,1.91,4,4.27
"197",2017-05-22 20:38:00,1,52,273,"10.1038/nn.4238",4.45,4.12,3.95,1.06
"198",2017-03-18 20:28:00,1,56,166,"10.1021/mp500002y",3.73,3.7,0.92,1.24
"199",2017-03-21 20:05:00,1,56,171,"10.1021/acs.inorgchem.6b01413",3.56,2.06,3.3,0.17
"200",2017-05-26 18:20:00,2,58,279,"10.3389/fncel.2016.00135",0.98,3.98,2.52,2.93
"201",2016-11-16 21:12:00,1,59,15,"10.1073/pnas.1211547109",3.03,3.65,3.72,3.3
